naics_code,naics_title,name
1111,Oilseed and Grain Farming,OilseedAndGrainFarming
1112,Vegetable and Melon Farming,VegetableAndMelonFarming
1113,Fruit and Tree Nut Farming,FruitAndTreeNutFarming
1114,"Greenhouse, Nursery, and Floriculture Production",GreenhouseNurseryAndFloricultureProduction
1119,Other Crop Farming,OtherCropFarming
1121,Cattle Ranching and Farming,CattleRanchingAndFarming
1122,Hog and Pig Farming,HogAndPigFarming
1123,Poultry and Egg Production,PoultryAndEggProduction
1124,Sheep and Goat Farming,SheepAndGoatFarming
1125,Aquaculture,Aquaculture
1129,Other Animal Production,OtherAnimalProduction
1131,Timber Tract Operations,TimberTractOperations
1132,Forest Nurseries and Gathering of Forest Products,ForestNurseriesAndGatheringOfForestProducts
1133,Logging,Logging
1141,Fishing,Fishing
1142,Hunting and Trapping,HuntingAndTrapping
1151,Support Activities for Crop Production,SupportActivitiesForCropProduction
1152,Support Activities for Animal Production,SupportActivitiesForAnimalProduction
1153,Support Activities for Forestry,SupportActivitiesForForestry
2111,Oil and Gas Extraction,OilAndGasExtraction
2121,Coal Mining,CoalMining
2122,Metal Ore Mining,MetalOreMining
2123,Nonmetallic Mineral Mining and Quarrying,NonmetallicMineralMiningAndQuarrying
2131,Support Activities for Mining,SupportActivitiesForMining
2211,"Electric Power Generation, Transmission and Distribution",ElectricPowerGenerationTransmissionAndDistribution
2212,Natural Gas Distribution ,NaturalGasDistribution
2213,"Water, Sewage and Other Systems ",WaterSewageAndOtherSystems
2361,Residential Building Construction,ResidentialBuildingConstruction
2362,Nonresidential Building Construction,NonresidentialBuildingConstruction
2371,Utility System Construction,UtilitySystemConstruction
2372,Land Subdivision,LandSubdivision
2373,"Highway, Street, and Bridge Construction",HighwayStreetAndBridgeConstruction
2379,Other Heavy and Civil Engineering Construction,OtherHeavyAndCivilEngineeringConstruction
2381,"Foundation, Structure, and Building Exterior Contractors",FoundationStructureAndBuildingExteriorContractors
2382,Building Equipment Contractors,BuildingEquipmentContractors
2383,Building Finishing Contractors,BuildingFinishingContractors
2389,Other Specialty Trade Contractors,OtherSpecialtyTradeContractors
3111,Animal Food Manufacturing,AnimalFoodManufacturing
3112,Grain and Oilseed Milling,GrainAndOilseedMilling
3113,Sugar and Confectionery Product Manufacturing,SugarAndConfectioneryProductManufacturing
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,FruitAndVegetablePreservingAndSpecialtyFoodManufacturing
3115,Dairy Product Manufacturing,DairyProductManufacturing
3116,Animal Slaughtering and Processing,AnimalSlaughteringAndProcessing
3117,Seafood Product Preparation and Packaging,SeafoodProductPreparationAndPackaging
3118,Bakeries and Tortilla Manufacturing,BakeriesAndTortillaManufacturing
3119,Other Food Manufacturing,OtherFoodManufacturing
3121,Beverage Manufacturing,BeverageManufacturing
3122,Tobacco Manufacturing,TobaccoManufacturing
3131,"Fiber, Yarn, and Thread Mills",FiberYarnAndThreadMills
3132,Fabric Mills,FabricMills
3133,Textile and Fabric Finishing and Fabric Coating Mills,TextileAndFabricFinishingAndFabricCoatingMills
3141,Textile Furnishings Mills,TextileFurnishingsMills
3149,Other Textile Product Mills,OtherTextileProductMills
3151,Apparel Knitting Mills,ApparelKnittingMills
3152,Cut and Sew Apparel Manufacturing,CutAndSewApparelManufacturing
3159,Apparel Accessories and Other Apparel Manufacturing,ApparelAccessoriesAndOtherApparelManufacturing
3161,Leather and Hide Tanning and Finishing,LeatherAndHideTanningAndFinishing
3162,Footwear Manufacturing,FootwearManufacturing
3169,Other Leather and Allied Product Manufacturing,OtherLeatherAndAlliedProductManufacturing
3211,Sawmills and Wood Preservation,SawmillsAndWoodPreservation
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",VeneerPlywoodAndEngineeredWoodProductManufacturing
3219,Other Wood Product Manufacturing,OtherWoodProductManufacturing
3221,"Pulp, Paper, and Paperboard Mills",PulpPaperAndPaperboardMills
3222,Converted Paper Product Manufacturing,ConvertedPaperProductManufacturing
3231,Printing and Related Support Activities,PrintingAndRelatedSupportActivities
3241,Petroleum and Coal Products Manufacturing,PetroleumAndCoalProductsManufacturing
3251,Basic Chemical Manufacturing,BasicChemicalManufacturing
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",ResinSyntheticRubberAndArtificialAndSyntheticFibersAndFilamentsManufacturing
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",PesticideFertilizerAndOtherAgriculturalChemicalManufacturing
3254,Pharmaceutical and Medicine Manufacturing,PharmaceuticalAndMedicineManufacturing
3255,"Paint, Coating, and Adhesive Manufacturing",PaintCoatingAndAdhesiveManufacturing
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",SoapCleaningCompoundAndToiletPreparationManufacturing
3259,Other Chemical Product and Preparation Manufacturing,OtherChemicalProductAndPreparationManufacturing
3261,Plastics Product Manufacturing,PlasticsProductManufacturing
3262,Rubber Product Manufacturing,RubberProductManufacturing
3271,Clay Product and Refractory Manufacturing,ClayProductAndRefractoryManufacturing
3272,Glass and Glass Product Manufacturing,GlassAndGlassProductManufacturing
3273,Cement and Concrete Product Manufacturing,CementAndConcreteProductManufacturing
3274,Lime and Gypsum Product Manufacturing,LimeAndGypsumProductManufacturing
3279,Other Nonmetallic Mineral Product Manufacturing,OtherNonmetallicMineralProductManufacturing
3311,Iron and Steel Mills and Ferroalloy Manufacturing,IronAndSteelMillsAndFerroalloyManufacturing
3312,Steel Product Manufacturing from Purchased Steel,SteelProductManufacturingFromPurchasedSteel
3313,Alumina and Aluminum Production and Processing,AluminaAndAluminumProductionAndProcessing
3314,Nonferrous Metal (except Aluminum) Production and Processing,NonferrousMetalExceptAluminumProductionAndProcessing
3315,Foundries,Foundries
3321,Forging and Stamping,ForgingAndStamping
3322,Cutlery and Handtool Manufacturing,CutleryAndHandtoolManufacturing
3323,Architectural and Structural Metals Manufacturing,ArchitecturalAndStructuralMetalsManufacturing
3324,"Boiler, Tank, and Shipping Container Manufacturing",BoilerTankAndShippingContainerManufacturing
3325,Hardware Manufacturing,HardwareManufacturing
3326,Spring and Wire Product Manufacturing,SpringAndWireProductManufacturing
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",MachineShopsTurnedProductAndScrewNutAndBoltManufacturing
3328,"Coating, Engraving, Heat Treating, and Allied Activities",CoatingEngravingHeatTreatingAndAlliedActivities
3329,Other Fabricated Metal Product Manufacturing,OtherFabricatedMetalProductManufacturing
3331,"Agriculture, Construction, and Mining Machinery Manufacturing",AgricultureConstructionAndMiningMachineryManufacturing
3332,Industrial Machinery Manufacturing,IndustrialMachineryManufacturing
3333,Commercial and Service Industry Machinery Manufacturing,CommercialAndServiceIndustryMachineryManufacturing
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",VentilationHeatingAirconditioningAndCommercialRefrigerationEquipmentManufacturing
3335,Metalworking Machinery Manufacturing,MetalworkingMachineryManufacturing
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",EngineTurbineAndPowerTransmissionEquipmentManufacturing
3339,Other General Purpose Machinery Manufacturing,OtherGeneralPurposeMachineryManufacturing
3341,Computer and Peripheral Equipment Manufacturing,ComputerAndPeripheralEquipmentManufacturing
3342,Communications Equipment Manufacturing,CommunicationsEquipmentManufacturing
3343,Audio and Video Equipment Manufacturing,AudioAndVideoEquipmentManufacturing
3344,Semiconductor and Other Electronic Component Manufacturing,SemiconductorAndOtherElectronicComponentManufacturing
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",NavigationalMeasuringElectromedicalAndControlInstrumentsManufacturing
3346,Manufacturing and Reproducing Magnetic and Optical Media,ManufacturingAndReproducingMagneticAndOpticalMedia
3351,Electric Lighting Equipment Manufacturing,ElectricLightingEquipmentManufacturing
3352,Household Appliance Manufacturing,HouseholdApplianceManufacturing
3353,Electrical Equipment Manufacturing,ElectricalEquipmentManufacturing
3359,Other Electrical Equipment and Component Manufacturing,OtherElectricalEquipmentAndComponentManufacturing
3361,Motor Vehicle Manufacturing,MotorVehicleManufacturing
3362,Motor Vehicle Body and Trailer Manufacturing,MotorVehicleBodyAndTrailerManufacturing
3363,Motor Vehicle Parts Manufacturing,MotorVehiclePartsManufacturing
3364,Aerospace Product and Parts Manufacturing,AerospaceProductAndPartsManufacturing
3365,Railroad Rolling Stock Manufacturing,RailroadRollingStockManufacturing
3366,Ship and Boat Building,ShipAndBoatBuilding
3369,Other Transportation Equipment Manufacturing,OtherTransportationEquipmentManufacturing
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,HouseholdAndInstitutionalFurnitureAndKitchenCabinetManufacturing
3372,Office Furniture (including Fixtures) Manufacturing,OfficeFurnitureIncludingFixturesManufacturing
3379,Other Furniture Related Product Manufacturing,OtherFurnitureRelatedProductManufacturing
3391,Medical Equipment and Supplies Manufacturing,MedicalEquipmentAndSuppliesManufacturing
3399,Other Miscellaneous Manufacturing,OtherMiscellaneousManufacturing
4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,MotorVehicleAndMotorVehiclePartsAndSuppliesMerchantWholesalers
4232,Furniture and Home Furnishing Merchant Wholesalers,FurnitureAndHomeFurnishingMerchantWholesalers
4233,Lumber and Other Construction Materials Merchant Wholesalers,LumberAndOtherConstructionMaterialsMerchantWholesalers
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,ProfessionalAndCommercialEquipmentAndSuppliesMerchantWholesalers
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,MetalAndMineralExceptPetroleumMerchantWholesalers
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,HouseholdAppliancesAndElectricalAndElectronicGoodsMerchantWholesalers
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",HardwareAndPlumbingAndHeatingEquipmentAndSuppliesMerchantWholesalers
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",MachineryEquipmentAndSuppliesMerchantWholesalers
4239,Miscellaneous Durable Goods Merchant Wholesalers,MiscellaneousDurableGoodsMerchantWholesalers
4241,Paper and Paper Product Merchant Wholesalers,PaperAndPaperProductMerchantWholesalers
4242,Drugs and Druggists' Sundries Merchant Wholesalers,DrugsAndDruggistsSundriesMerchantWholesalers
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",ApparelPieceGoodsAndNotionsMerchantWholesalers
4244,Grocery and Related Product Merchant Wholesalers,GroceryAndRelatedProductMerchantWholesalers
4245,Farm Product Raw Material Merchant Wholesalers,FarmProductRawMaterialMerchantWholesalers
4246,Chemical and Allied Products Merchant Wholesalers,ChemicalAndAlliedProductsMerchantWholesalers
4247,Petroleum and Petroleum Products Merchant Wholesalers,PetroleumAndPetroleumProductsMerchantWholesalers
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",BeerWineAndDistilledAlcoholicBeverageMerchantWholesalers
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,MiscellaneousNondurableGoodsMerchantWholesalers
4251,Wholesale Trade Agents and Brokers,WholesaleTradeAgentsAndBrokers
4411,Automobile Dealers,AutomobileDealers
4412,Other Motor Vehicle Dealers,OtherMotorVehicleDealers
4413,"Automotive Parts, Accessories, and Tire Retailers",AutomotivePartsAccessoriesAndTireRetailers
4441,Building Material and Supplies Dealers,BuildingMaterialAndSuppliesDealers
4442,Lawn and Garden Equipment and Supplies Retailers,LawnAndGardenEquipmentAndSuppliesRetailers
4451,Grocery and Convenience Retailers,GroceryAndConvenienceRetailers
4452,Specialty Food Retailers,SpecialtyFoodRetailers
4453,"Beer, Wine, and Liquor Retailers",BeerWineAndLiquorRetailers
4491,Furniture and Home Furnishings Retailers,FurnitureAndHomeFurnishingsRetailers
4492,Electronics and Appliance Retailers,ElectronicsAndApplianceRetailers
4551,Department Stores,DepartmentStores
4552,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",WarehouseClubsSupercentersAndOtherGeneralMerchandiseRetailers
4561,Health and Personal Care Retailers,HealthAndPersonalCareRetailers
4571,Gasoline Stations,GasolineStations
4572,Fuel Dealers,FuelDealers
4581,Clothing and Clothing Accessories Retailers,ClothingAndClothingAccessoriesRetailers
4582,Shoe Retailers,ShoeRetailers
4583,"Jewelry, Luggage, and Leather Goods Retailers",JewelryLuggageAndLeatherGoodsRetailers
4591,Sporting Goods and Musical Instrument Retailers,SportingGoodsAndMusicalInstrumentRetailers
4592,Book Retailers and News Dealers,BookRetailersAndNewsDealers
4593,Florists,Florists
4594,"Office Supplies, Stationery, and Gift Retailers",OfficeSuppliesStationeryAndGiftRetailers
4595,Used Merchandise Retailers,UsedMerchandiseRetailers
4599,Other Miscellaneous Retailers,OtherMiscellaneousRetailers
4811,Scheduled Air Transportation,ScheduledAirTransportation
4812,Nonscheduled Air Transportation,NonscheduledAirTransportation
4821,Rail Transportation,RailTransportation
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",DeepSeaCoastalAndGreatLakesWaterTransportation
4832,Inland Water Transportation,InlandWaterTransportation
4841,General Freight Trucking,GeneralFreightTrucking
4842,Specialized Freight Trucking,SpecializedFreightTrucking
4851,Urban Transit Systems,UrbanTransitSystems
4852,Interurban and Rural Bus Transportation,InterurbanAndRuralBusTransportation
4853,Taxi and Limousine Service,TaxiAndLimousineService
4854,School and Employee Bus Transportation,SchoolAndEmployeeBusTransportation
4855,Charter Bus Industry,CharterBusIndustry
4859,Other Transit and Ground Passenger Transportation,OtherTransitAndGroundPassengerTransportation
4861,Pipeline Transportation of Crude Oil,PipelineTransportationOfCrudeOil
4862,Pipeline Transportation of Natural Gas,PipelineTransportationOfNaturalGas
4869,Other Pipeline Transportation,OtherPipelineTransportation
4871,"Scenic and Sightseeing Transportation, Land",ScenicAndSightseeingTransportationLand
4872,"Scenic and Sightseeing Transportation, Water",ScenicAndSightseeingTransportationWater
4879,"Scenic and Sightseeing Transportation, Other",ScenicAndSightseeingTransportationOther
4881,Support Activities for Air Transportation,SupportActivitiesForAirTransportation
4882,Support Activities for Rail Transportation,SupportActivitiesForRailTransportation
4883,Support Activities for Water Transportation,SupportActivitiesForWaterTransportation
4884,Support Activities for Road Transportation,SupportActivitiesForRoadTransportation
4885,Freight Transportation Arrangement,FreightTransportationArrangement
4889,Other Support Activities for Transportation,OtherSupportActivitiesForTransportation
4911,Postal Service,PostalService
4921,Couriers and Express Delivery Services,CouriersAndExpressDeliveryServices
4922,Local Messengers and Local Delivery,LocalMessengersAndLocalDelivery
4931,Warehousing and Storage,WarehousingAndStorage
5111,"Newspaper, Periodical, Book, and Directory Publishers",NewspaperPeriodicalBookAndDirectoryPublishers
5112,Software Publishers,SoftwarePublishers
5121,Motion Picture and Video Industries,MotionPictureAndVideoIndustries
5122,Sound Recording Industries,SoundRecordingIndustries
5151,Radio and Television Broadcasting,RadioAndTelevisionBroadcasting
5152,Cable and Other Subscription Programming,CableAndOtherSubscriptionProgramming
5173,Wired and Wireless Telecommunications Carriers,WiredAndWirelessTelecommunicationsCarriers
5174,Satellite Telecommunications,SatelliteTelecommunications
5179,Other Telecommunications,OtherTelecommunications
5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",ComputingInfrastructureProvidersDataProcessingWebHostingAndRelatedServices
5191,Other Information Services,OtherInformationServices
5211,Monetary Authorities-Central Bank,MonetaryAuthoritiesCentralBank
5221,Depository Credit Intermediation,DepositoryCreditIntermediation
5222,Nondepository Credit Intermediation,NondepositoryCreditIntermediation
5223,Activities Related to Credit Intermediation,ActivitiesRelatedToCreditIntermediation
5231,Securities and Commodity Contracts Intermediation and Brokerage,SecuritiesAndCommodityContractsIntermediationAndBrokerage
5232,Securities and Commodity Exchanges,SecuritiesAndCommodityExchanges
