naics_code,naics_title,name
11111,Soybean Farming,SoybeanFarming
11112,Oilseed (except Soybean) Farming,OilseedExceptSoybeanFarming
11113,Dry Pea and Bean Farming,DryPeaAndBeanFarming
11114,Wheat Farming,WheatFarming
11115,Corn Farming,CornFarming
11116,Rice Farming,RiceFarming
11119,Other Grain Farming,OtherGrainFarming
11121,Vegetable and Melon Farming,VegetableAndMelonFarming
11131,Orange Groves,OrangeGroves
11132,Citrus (except Orange) Groves,CitrusExceptOrangeGroves
11133,Noncitrus Fruit and Tree Nut Farming,NoncitrusFruitAndTreeNutFarming
11141,Food Crops Grown Under Cover,FoodCropsGrownUnderCover
11142,Nursery and Floriculture Production,NurseryAndFloricultureProduction
11191,Tobacco Farming,TobaccoFarming
11192,Cotton Farming,CottonFarming
11193,Sugarcane Farming,SugarcaneFarming
11194,Hay Farming,HayFarming
11199,All Other Crop Farming,AllOtherCropFarming
11211,"Beef Cattle Ranching and Farming, including Feedlots",BeefCattleRanchingAndFarmingIncludingFeedlots
11212,Dairy Cattle and Milk Production,DairyCattleAndMilkProduction
11213,Dual-Purpose Cattle Ranching and Farming,DualpurposeCattleRanchingAndFarming
11221,Hog and Pig Farming,HogAndPigFarming
11231,Chicken Egg Production,ChickenEggProduction
11232,Broilers and Other Meat Type Chicken Production,BroilersAndOtherMeatTypeChickenProduction
11233,Turkey Production,TurkeyProduction
11234,Poultry Hatcheries,PoultryHatcheries
11239,Other Poultry Production,OtherPoultryProduction
11241,Sheep Farming,SheepFarming
11242,Goat Farming,GoatFarming
11251,Aquaculture,Aquaculture
11291,Apiculture,Apiculture
11292,Horses and Other Equine Production,HorsesAndOtherEquineProduction
11293,Fur-Bearing Animal and Rabbit Production,FurbearingAnimalAndRabbitProduction
11299,All Other Animal Production,AllOtherAnimalProduction
11311,Timber Tract Operations,TimberTractOperations
11321,Forest Nurseries and Gathering of Forest Products,ForestNurseriesAndGatheringOfForestProducts
11331,Logging,Logging
11411,Fishing,Fishing
11421,Hunting and Trapping,HuntingAndTrapping
11511,Support Activities for Crop Production,SupportActivitiesForCropProduction
11521,Support Activities for Animal Production,SupportActivitiesForAnimalProduction
11531,Support Activities for Forestry,SupportActivitiesForForestry
21112,Crude Petroleum Extraction,CrudePetroleumExtraction
21113,Natural Gas Extraction,NaturalGasExtraction
21211,Coal Mining,CoalMining
21221,Iron Ore Mining,IronOreMining
21222,Gold Ore and Silver Ore Mining,GoldOreAndSilverOreMining
21223,"Copper, Nickel, Lead, and Zinc Mining",CopperNickelLeadAndZincMining
21229,Other Metal Ore Mining,OtherMetalOreMining
21231,Stone Mining and Quarrying,StoneMiningAndQuarrying
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",SandGravelClayAndCeramicAndRefractoryMineralsMiningAndQuarrying
21239,Other Nonmetallic Mineral Mining and Quarrying,OtherNonmetallicMineralMiningAndQuarrying
21311,Support Activities for Mining,SupportActivitiesForMining
22111,Electric Power Generation ,ElectricPowerGeneration
