naics_code,naics_title,name
111,Crop Production,CropProduction
112,Animal Production and Aquaculture,AnimalProductionAndAquaculture
113,Forestry and Logging,ForestryAndLogging
114,"Fishing, Hunting and Trapping",FishingHuntingAndTrapping
115,Support Activities for Agriculture and Forestry,SupportActivitiesForAgricultureAndForestry
211,Oil and Gas Extraction,OilAndGasExtraction
212,Mining (except Oil and Gas),MiningExceptOilAndGas
213,Support Activities for Mining,SupportActivitiesForMining
221,Utilities,Utilities
236,Construction of Buildings,ConstructionOfBuildings
237,Heavy and Civil Engineering Construction,HeavyAndCivilEngineeringConstruction
238,Specialty Trade Contractors,SpecialtyTradeContractors
311,Food Manufacturing,FoodManufacturing
312,Beverage and Tobacco Product Manufacturing,BeverageAndTobaccoProductManufacturing
313,Textile Mills,TextileMills
314,Textile Product Mills,TextileProductMills
315,Apparel Manufacturing,ApparelManufacturing
316,Leather and Allied Product Manufacturing,LeatherAndAlliedProductManufacturing
321,Wood Product Manufacturing,WoodProductManufacturing
322,Paper Manufacturing,PaperManufacturing
323,Printing and Related Support Activities,PrintingAndRelatedSupportActivities
324,Petroleum and Coal Products Manufacturing,PetroleumAndCoalProductsManufacturing
325,Chemical Manufacturing,ChemicalManufacturing
326,Plastics and Rubber Products Manufacturing,PlasticsAndRubberProductsManufacturing
327,Nonmetallic Mineral Product Manufacturing,NonmetallicMineralProductManufacturing
331,Primary Metal Manufacturing,PrimaryMetalManufacturing
332,Fabricated Metal Product Manufacturing,FabricatedMetalProductManufacturing
333,Machinery Manufacturing,MachineryManufacturing
334,Computer and Electronic Product Manufacturing,ComputerAndElectronicProductManufacturing
335,"Electrical Equipment, Appliance, and Component Manufacturing",ElectricalEquipmentApplianceAndComponentManufacturing
336,Transportation Equipment Manufacturing,TransportationEquipmentManufacturing
337,Furniture and Related Product Manufacturing,FurnitureAndRelatedProductManufacturing
339,Miscellaneous Manufacturing,MiscellaneousManufacturing
423,"Merchant Wholesalers, Durable Goods",MerchantWholesalersDurableGoods
424,"Merchant Wholesalers, Nondurable Goods",MerchantWholesalersNondurableGoods
425,Wholesale Trade Agents and Brokers,WholesaleTradeAgentsAndBrokers
441,Motor Vehicle and Parts Dealers,MotorVehicleAndPartsDealers
444,Building Material and Garden Equipment and Supplies Dealers,BuildingMaterialAndGardenEquipmentAndSuppliesDealers
445,Food and Beverage Retailers,FoodAndBeverageRetailers
449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",FurnitureHomeFurnishingsElectronicsAndApplianceRetailers
455,General Merchandise Retailers,GeneralMerchandiseRetailers
456,Health and Personal Care Retailers,HealthAndPersonalCareRetailers
457,Gasoline Stations and Fuel Dealers,GasolineStationsAndFuelDealers
